date,cals_burned,steps,dist,flrs,mins_sed,mins_light,mins_mod,mins_heavy,activity_cals,mins_tot,mins_off,cals_idle,mins_idle,idle_cals_per_min,pred_cal_burned,last_week_cals,cal_diff_priorW
2018-06-06,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-07,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-11,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-26,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-27,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-28,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-29,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-06-30,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-07-03,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-07-04,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-07-05,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
2018-07-06,3154,4542,2,3,900,170,12,7,1066,1089,351,2087,1251,2,86,3082,86
